Employee_ID,Gender,Age,Department,Role_Level,Location,Education,Hire_Date,Offer_Acceptance_Date,Source_of_Hire,Expected_Salary,Offered_Salary,Manager_Experience_Years,Work_Mode,Laptop_Day1,Buddy_Assigned,Training_Hours_First_Month,Role_Clarity_Score,Onboarding_Satisfaction_Score,Manager_First_Meeting_Days,First_Project_Assigned_Days,Employment_Status,Tenure_Months,Early_Attrition,Exit_Reason_Category,Exit_Reason_Detail,Column1
EMP0037,Female,33,IT,Entry,Bangalore,Postgraduate,15-02-2023,04-02-2023,Agency,833643,835717,3,Onsite,Yes,Yes,30,4,2,10,21,Active,11,No,NA,NA,
EMP0038,Male,39,HR,Senior,Pune,Postgraduate,04-02-2023,09-01-2023,Referral,652257,608303,8,Remote,No,Yes,19,4,3,0,32,Resigned,4,Yes,Role Mismatch,No Role Clarity,
EMP0039,Male,23,IT,Senior,Hyderabad,Postgraduate,22-09-2023,23-08-2023,Job Portal,417986,423637,9,Onsite,Yes,No,31,2,5,1,45,Active,6,No,NA,NA,
EMP0040,Male,32,IT,Senior,Mumbai,Postgraduate,11-02-2023,27-01-2023,Referral,640543,673397,13,Hybrid,Yes,No,21,4,4,3,44,Active,26,No,NA,NA,
EMP0041,Female,35,HR,Mid,Mumbai,Graduate,22-03-2024,27-02-2024,Campus,577717,605007,8,Remote,Yes,No,11,4,3,0,36,Resigned,19,No,Work Culture,Toxic Culture,
EMP0042,Male,22,HR,Entry,Bangalore,Graduate,24-06-2023,18-06-2023,Campus,812417,849562,12,Remote,No,No,16,2,2,0,7,Active,23,No,NA,NA,
EMP0043,Male,23,IT,Entry,Bangalore,Postgraduate,06-03-2022,07-02-2022,Campus,748992,708938,6,Onsite,Yes,Yes,18,2,1,3,10,Resigned,9,No,Career Growth,No Growth Opportunity,
EMP0044,Male,29,Operations,Mid,Pune,Graduate,30-05-2022,06-05-2022,Referral,580178,592975,5,Remote,Yes,No,31,1,4,10,14,Active,12,No,NA,NA,
EMP0045,Female,37,Finance,Mid,Mumbai,Graduate,19-07-2023,08-07-2023,Job Portal,530718,481614,15,Onsite,Yes,No,13,3,2,10,27,Resigned,20,No,Manager Issues,Micromanagement,
EMP0046,Female,32,HR,Senior,Delhi,Postgraduate,28-11-2022,14-11-2022,Referral,834760,830039,3,Remote,No,Yes,17,5,3,1,25,Active,16,No,NA,NA,
EMP0047,Female,25,Finance,Entry,Pune,Postgraduate,27-05-2022,20-05-2022,Job Portal,420650,444365,4,Remote,No,Yes,28,3,3,0,39,Active,7,No,NA,NA,
EMP0048,Female,35,IT,Senior,Pune,Postgraduate,11-03-2022,03-03-2022,Campus,769334,759212,5,Onsite,Yes,No,9,2,5,9,29,Active,21,No,NA,NA,
EMP0049,Female,30,HR,Entry,Bangalore,Postgraduate,29-10-2023,08-10-2023,Agency,609563,589760,9,Hybrid,Yes,No,40,1,5,5,37,Active,36,No,NA,NA,
EMP0050,Male,39,Finance,Senior,Mumbai,Postgraduate,07-05-2023,10-04-2023,Referral,513276,546324,10,Hybrid,No,No,26,2,3,9,39,Resigned,24,No,Manager Issues,Poor Manager Behavior,
EMP0051,Male,34,HR,Mid,Delhi,Graduate,09-03-2023,21-02-2023,Agency,853897,853492,10,Hybrid,Yes,No,11,4,4,0,19,Active,23,No,NA,NA,
EMP0052,Female,27,HR,Mid,Mumbai,Graduate,26-03-2023,28-02-2023,Campus,611625,596669,14,Onsite,No,Yes,25,5,3,0,23,Active,22,No,NA,NA,
EMP0053,Female,33,IT,Mid,Mumbai,Postgraduate,27-01-2022,28-12-2021,Campus,895870,904980,7,Remote,No,No,40,2,1,7,23,Active,16,No,NA,NA,
EMP0054,Female,27,HR,Mid,Mumbai,Graduate,12-06-2022,30-05-2022,Agency,440301,409468,12,Onsite,No,Yes,18,3,4,0,19,Active,26,No,NA,NA,
EMP0055,Male,29,IT,Senior,Mumbai,Graduate,18-07-2022,01-07-2022,Agency,868514,865443,13,Remote,Yes,Yes,7,3,3,3,23,Active,20,No,NA,NA,
EMP0056,Male,35,Operations,Senior,Delhi,Graduate,30-11-2023,19-11-2023,Campus,578092,557481,12,Remote,Yes,No,13,4,3,6,14,Active,14,No,NA,NA,
EMP0057,Male,30,Finance,Senior,Bangalore,Graduate,22-04-2023,28-03-2023,Campus,435654,390991,15,Hybrid,No,Yes,25,2,1,3,34,Resigned,21,No,Manager Issues,Micromanagement,
EMP0058,Male,26,Sales,Senior,Mumbai,Postgraduate,22-03-2023,23-02-2023,Campus,820122,794851,6,Remote,No,Yes,18,2,3,5,36,Resigned,22,No,Compensation,Better Offer,
EMP0059,Female,26,Sales,Senior,Hyderabad,Graduate,04-05-2024,24-04-2024,Referral,415756,449140,10,Hybrid,Yes,Yes,9,3,1,1,8,Resigned,12,No,Manager Issues,Poor Manager Behavior,
EMP0060,Male,33,Operations,Senior,Pune,Graduate,11-09-2022,04-09-2022,Job Portal,618782,659695,10,Hybrid,Yes,No,24,3,4,4,43,Active,6,No,NA,NA,
EMP0061,Female,24,Sales,Entry,Bangalore,Postgraduate,29-07-2023,13-07-2023,Job Portal,566920,564667,3,Remote,No,Yes,37,1,2,1,27,Active,26,No,NA,NA,
EMP0062,Female,33,Sales,Senior,Hyderabad,Graduate,25-04-2024,15-04-2024,Job Portal,531546,494081,9,Onsite,Yes,No,38,4,1,7,34,Resigned,3,Yes,Manager Issues,Micromanagement,
EMP0063,Female,22,Operations,Mid,Delhi,Graduate,05-09-2022,14-08-2022,Referral,806355,811713,4,Hybrid,Yes,No,36,5,1,7,36,Active,28,No,NA,NA,
EMP0064,Male,34,IT,Senior,Bangalore,Graduate,28-11-2023,02-11-2023,Campus,385198,362089,11,Hybrid,No,Yes,27,1,1,9,6,Active,10,No,NA,NA,
EMP0065,Female,25,Sales,Entry,Pune,Graduate,28-10-2023,10-10-2023,Job Portal,564851,569262,5,Remote,Yes,Yes,16,2,3,5,38,Active,12,No,NA,NA,
EMP0066,Male,25,Operations,Mid,Mumbai,Postgraduate,01-06-2024,04-05-2024,Job Portal,806008,769057,5,Onsite,No,No,17,1,1,4,35,Active,35,No,NA,NA,
EMP0067,Female,26,Finance,Entry,Bangalore,Postgraduate,07-05-2024,07-04-2024,Job Portal,544563,549314,15,Remote,No,Yes,16,5,5,10,33,Resigned,17,No,Career Growth,No Growth Opportunity,
EMP0068,Female,40,Sales,Mid,Pune,Graduate,08-02-2023,28-01-2023,Job Portal,789888,816594,1,Hybrid,No,No,34,2,2,4,24,Active,29,No,NA,NA,
EMP0069,Female,40,HR,Senior,Pune,Postgraduate,10-09-2023,04-09-2023,Referral,547147,540662,4,Remote,No,Yes,32,3,4,1,45,Resigned,13,No,Career Growth,No Growth Opportunity,
EMP0070,Female,39,HR,Entry,Bangalore,Graduate,07-12-2022,24-11-2022,Referral,505354,460516,1,Onsite,No,No,24,5,5,1,42,Active,32,No,NA,NA,
EMP0071,Female,36,Operations,Mid,Bangalore,Postgraduate,12-12-2023,22-11-2023,Campus,810214,791703,14,Hybrid,Yes,No,6,2,5,6,31,Active,24,No,NA,NA,
EMP0072,Male,27,Sales,Entry,Mumbai,Postgraduate,21-05-2023,15-05-2023,Job Portal,884037,932340,3,Remote,Yes,No,21,3,1,0,16,Resigned,7,No,Career Growth,No Growth Opportunity,
EMP0073,Male,26,Sales,Senior,Hyderabad,Graduate,06-01-2023,22-12-2022,Campus,793109,830173,13,Remote,No,No,16,4,3,2,24,Resigned,7,No,Manager Issues,Poor Manager Behavior,
EMP0074,Female,35,IT,Entry,Hyderabad,Postgraduate,19-08-2022,12-08-2022,Referral,773526,765373,7,Remote,No,Yes,30,1,3,3,12,Active,28,No,NA,NA,
EMP0075,Female,35,Sales,Entry,Bangalore,Postgraduate,06-10-2023,08-09-2023,Campus,803668,776567,12,Onsite,No,No,31,3,5,1,18,Active,9,No,NA,NA,
EMP0076,Female,23,IT,Entry,Bangalore,Graduate,18-09-2023,25-08-2023,Referral,494291,479392,1,Remote,No,No,24,2,4,8,11,Active,29,No,NA,NA,
EMP0077,Male,36,Finance,Mid,Hyderabad,Graduate,06-11-2022,15-10-2022,Agency,640800,654340,3,Onsite,Yes,No,9,5,4,0,23,Active,23,No,NA,NA,
EMP0078,Male,37,IT,Mid,Hyderabad,Graduate,07-11-2023,01-11-2023,Campus,686284,677085,5,Onsite,No,Yes,5,3,3,3,14,Resigned,15,No,Work Culture,Toxic Culture,
EMP0079,Male,38,Operations,Mid,Mumbai,Postgraduate,04-01-2023,23-12-2022,Agency,662410,620524,9,Remote,Yes,Yes,28,3,4,8,12,Active,11,No,NA,NA,
EMP0080,Female,30,Operations,Entry,Hyderabad,Postgraduate,01-03-2022,09-02-2022,Referral,888629,842782,14,Remote,No,Yes,20,2,5,6,32,Resigned,2,Yes,Role Mismatch,No Role Clarity,
EMP0081,Female,22,IT,Senior,Pune,Graduate,08-12-2022,24-11-2022,Referral,547175,559467,8,Hybrid,Yes,Yes,9,5,1,8,41,Active,6,No,NA,NA,
EMP0082,Male,29,HR,Mid,Pune,Postgraduate,04-04-2022,15-03-2022,Campus,829415,812300,9,Onsite,Yes,No,30,1,5,10,14,Active,25,No,NA,NA,
EMP0083,Female,26,Sales,Entry,Hyderabad,Graduate,26-02-2024,07-02-2024,Job Portal,722528,725601,10,Hybrid,No,No,5,3,2,10,30,Active,6,No,NA,NA,
EMP0084,Female,34,Sales,Mid,Pune,Postgraduate,12-04-2022,04-04-2022,Referral,746385,709706,5,Hybrid,No,No,29,3,4,10,33,Resigned,22,No,Compensation,Better Offer,
EMP0085,Female,25,IT,Mid,Hyderabad,Postgraduate,11-01-2022,30-12-2021,Referral,575011,605179,12,Onsite,Yes,No,15,3,1,5,31,Active,14,No,NA,NA,
EMP0086,Female,37,HR,Mid,Hyderabad,Graduate,05-05-2024,14-04-2024,Job Portal,361167,346598,14,Onsite,No,No,35,3,1,5,13,Active,17,No,NA,NA,
EMP0087,Female,40,Finance,Mid,Bangalore,Graduate,24-02-2022,27-01-2022,Job Portal,697548,683140,15,Remote,No,Yes,12,3,2,8,36,Active,28,No,NA,NA,
EMP0088,Female,28,Finance,Entry,Mumbai,Postgraduate,03-02-2022,09-01-2022,Agency,644761,673420,9,Hybrid,No,No,20,1,2,8,44,Active,8,No,NA,NA,
EMP0089,Female,22,Finance,Entry,Delhi,Graduate,28-03-2023,23-03-2023,Campus,677699,663604,2,Hybrid,No,No,37,3,5,10,12,Active,23,No,NA,NA,
EMP0090,Male,27,IT,Senior,Delhi,Postgraduate,26-11-2022,04-11-2022,Job Portal,566694,559284,6,Onsite,Yes,No,31,1,4,3,23,Active,21,No,NA,NA,
EMP0091,Male,22,Operations,Entry,Bangalore,Graduate,20-09-2023,05-09-2023,Agency,815684,853403,9,Hybrid,No,Yes,34,2,2,2,37,Resigned,8,No,Role Mismatch,Job Different From Discussion,
EMP0092,Female,22,Operations,Entry,Bangalore,Postgraduate,24-02-2024,18-02-2024,Campus,707723,726735,11,Onsite,No,No,33,2,4,6,37,Active,8,No,NA,NA,
EMP0093,Female,27,Sales,Mid,Mumbai,Graduate,08-07-2022,28-06-2022,Agency,515128,477941,4,Onsite,No,No,8,1,1,1,7,Active,31,No,NA,NA,
EMP0094,Female,27,Operations,Mid,Delhi,Graduate,05-03-2023,10-02-2023,Job Portal,770099,746566,15,Remote,No,Yes,22,5,2,0,30,Active,23,No,NA,NA,
EMP0095,Female,23,HR,Senior,Hyderabad,Graduate,11-06-2022,31-05-2022,Campus,711941,717343,14,Remote,Yes,No,31,2,1,9,32,Active,35,No,NA,NA,
EMP0096,Female,33,HR,Entry,Pune,Postgraduate,19-11-2023,29-10-2023,Referral,806809,833654,14,Remote,Yes,Yes,20,1,2,4,35,Active,28,No,NA,NA,
EMP0097,Male,23,Operations,Entry,Hyderabad,Postgraduate,10-09-2022,01-09-2022,Agency,805093,817954,4,Onsite,No,Yes,40,2,5,1,32,Active,23,No,NA,NA,
EMP0098,Male,34,IT,Entry,Mumbai,Graduate,10-05-2023,25-04-2023,Agency,361960,397984,10,Onsite,No,Yes,11,3,3,1,28,Active,8,No,NA,NA,
EMP0099,Female,28,Finance,Entry,Hyderabad,Graduate,23-06-2023,31-05-2023,Campus,724883,707908,1,Hybrid,No,No,20,5,2,6,37,Resigned,11,No,Personal,Relocation,
EMP0100,Female,37,Finance,Mid,Delhi,Postgraduate,26-03-2023,28-02-2023,Campus,538549,520552,4,Hybrid,Yes,Yes,6,2,5,9,17,Resigned,21,No,Role Mismatch,Job Different From Discussion,
EMP0101,Male,39,Operations,Mid,Bangalore,Postgraduate,25-11-2022,13-11-2022,Referral,759815,753078,9,Hybrid,Yes,No,19,2,4,6,20,Resigned,4,Yes,Personal,Health Issues,
EMP0102,Male,36,Sales,Mid,Pune,Postgraduate,26-09-2022,14-09-2022,Referral,892227,935734,14,Hybrid,No,No,8,3,2,9,17,Active,31,No,NA,NA,
EMP0103,Male,32,Operations,Entry,Delhi,Graduate,20-03-2022,08-03-2022,Agency,512950,520365,2,Onsite,Yes,No,21,1,4,6,32,Active,10,No,NA,NA,
EMP0104,Female,37,Operations,Senior,Hyderabad,Graduate,19-12-2023,05-12-2023,Agency,870540,861710,1,Onsite,Yes,No,21,3,1,2,35,Active,15,No,NA,NA,
EMP0105,Female,27,Finance,Entry,Mumbai,Graduate,01-07-2022,18-06-2022,Referral,777288,767290,10,Remote,Yes,Yes,32,3,4,0,24,Active,20,No,NA,NA,
EMP0106,Male,27,Sales,Entry,Pune,Graduate,24-09-2022,28-08-2022,Referral,491468,524944,4,Onsite,Yes,No,12,5,3,1,24,Resigned,1,Yes,Career Growth,No Growth Opportunity,
EMP0107,Female,40,Sales,Senior,Mumbai,Graduate,08-07-2022,02-07-2022,Job Portal,552764,587262,3,Onsite,Yes,No,27,3,4,8,44,Active,26,No,NA,NA,
EMP0108,Female,37,Sales,Entry,Delhi,Postgraduate,22-07-2022,06-07-2022,Referral,727739,742862,6,Hybrid,Yes,Yes,33,5,3,1,33,Active,28,No,NA,NA,
EMP0109,Male,34,Finance,Mid,Pune,Graduate,16-06-2023,22-05-2023,Job Portal,481484,433501,12,Remote,Yes,Yes,34,4,1,6,37,Resigned,13,No,Personal,Higher Studies,
EMP0110,Male,26,Operations,Senior,Delhi,Graduate,27-10-2022,18-10-2022,Job Portal,859139,901489,15,Onsite,Yes,Yes,13,1,4,5,22,Resigned,9,No,Work Culture,Toxic Culture,
EMP0111,Male,25,Operations,Senior,Mumbai,Postgraduate,06-02-2022,18-01-2022,Job Portal,826804,852884,14,Onsite,Yes,Yes,34,2,3,10,38,Active,27,No,NA,NA,
EMP0112,Male,28,HR,Senior,Delhi,Postgraduate,12-10-2023,29-09-2023,Campus,551250,561431,13,Remote,Yes,No,17,5,3,4,5,Resigned,17,No,Personal,Health Issues,
EMP0113,Female,33,Finance,Senior,Pune,Graduate,14-10-2023,22-09-2023,Agency,531086,483570,6,Remote,Yes,No,36,5,5,10,17,Active,32,No,NA,NA,
EMP0114,Male,35,Finance,Senior,Hyderabad,Postgraduate,25-01-2023,03-01-2023,Agency,401747,365718,1,Onsite,Yes,Yes,37,3,2,8,32,Active,12,No,NA,NA,
EMP0115,Female,37,Operations,Entry,Delhi,Postgraduate,16-05-2024,24-04-2024,Referral,459344,410647,1,Remote,Yes,No,17,5,4,8,19,Active,15,No,NA,NA,
EMP0116,Female,40,Finance,Mid,Bangalore,Graduate,30-03-2023,23-03-2023,Agency,770065,789058,4,Hybrid,Yes,No,23,1,4,1,23,Active,29,No,NA,NA,
EMP0117,Male,29,Finance,Entry,Mumbai,Postgraduate,22-03-2023,06-03-2023,Job Portal,523885,571426,7,Onsite,Yes,No,22,3,1,7,43,Active,34,No,NA,NA,
EMP0118,Female,37,HR,Senior,Bangalore,Graduate,11-03-2024,13-02-2024,Agency,360563,338185,11,Remote,Yes,Yes,6,5,3,5,18,Resigned,5,Yes,Personal,Higher Studies,
EMP0119,Male,30,HR,Mid,Delhi,Graduate,20-02-2023,10-02-2023,Referral,443806,438548,9,Hybrid,No,Yes,33,1,3,0,38,Active,33,No,NA,NA,
EMP0120,Male,33,Sales,Senior,Delhi,Graduate,22-12-2022,08-12-2022,Job Portal,879412,887504,15,Onsite,Yes,Yes,31,1,3,6,28,Active,22,No,NA,NA,
EMP0121,Male,32,Sales,Entry,Delhi,Postgraduate,08-11-2023,02-11-2023,Referral,791152,808506,9,Hybrid,No,No,21,2,3,4,29,Active,25,No,NA,NA,
EMP0122,Female,34,HR,Senior,Mumbai,Postgraduate,09-06-2024,02-06-2024,Agency,518494,559476,2,Hybrid,Yes,No,29,1,2,10,36,Active,35,No,NA,NA,
EMP0123,Male,29,IT,Senior,Hyderabad,Graduate,08-10-2023,09-09-2023,Referral,505044,487185,10,Hybrid,Yes,No,38,2,4,0,32,Active,12,No,NA,NA,
EMP0124,Male,39,Finance,Entry,Hyderabad,Graduate,22-07-2023,22-06-2023,Referral,713348,753904,7,Onsite,Yes,Yes,21,4,2,7,6,Resigned,19,No,Career Growth,No Growth Opportunity,
EMP0125,Male,32,Finance,Senior,Mumbai,Postgraduate,22-01-2024,27-12-2023,Agency,829763,801125,10,Hybrid,Yes,Yes,13,2,4,4,37,Resigned,20,No,Compensation,Salary Mismatch,
EMP0126,Female,23,Sales,Mid,Delhi,Graduate,23-09-2022,13-09-2022,Job Portal,694203,684557,11,Onsite,No,No,28,4,4,5,32,Active,12,No,NA,NA,
EMP0127,Male,29,Sales,Senior,Pune,Graduate,13-05-2022,24-04-2022,Job Portal,697069,735931,14,Hybrid,Yes,No,31,4,4,3,10,Active,26,No,NA,NA,
EMP0128,Female,30,HR,Mid,Delhi,Graduate,21-06-2023,08-06-2023,Campus,759161,770040,11,Onsite,Yes,Yes,13,2,5,6,19,Active,26,No,NA,NA,
EMP0129,Male,28,IT,Senior,Hyderabad,Postgraduate,02-03-2024,04-02-2024,Campus,848032,825021,8,Remote,Yes,Yes,5,2,1,6,10,Resigned,13,No,Role Mismatch,No Role Clarity,
EMP0130,Male,23,Operations,Senior,Bangalore,Postgraduate,04-11-2023,21-10-2023,Agency,685352,724596,13,Remote,Yes,No,32,4,4,7,45,Active,33,No,NA,NA,
EMP0131,Female,31,Operations,Senior,Hyderabad,Graduate,25-11-2023,08-11-2023,Referral,839244,818335,15,Hybrid,No,Yes,20,4,5,9,45,Active,32,No,NA,NA,
EMP0132,Male,30,HR,Senior,Delhi,Graduate,25-10-2023,04-10-2023,Job Portal,421290,372880,13,Hybrid,No,No,12,4,2,4,6,Resigned,4,Yes,Compensation,Low Increment,
EMP0133,Male,36,IT,Mid,Bangalore,Postgraduate,17-10-2023,27-09-2023,Campus,613582,660406,3,Remote,No,Yes,16,1,4,1,29,Resigned,18,No,Personal,Relocation,
EMP0134,Male,30,Operations,Mid,Mumbai,Postgraduate,15-07-2023,09-07-2023,Job Portal,539601,539230,11,Hybrid,No,Yes,23,1,4,1,42,Active,25,No,NA,NA,
EMP0135,Female,38,Sales,Entry,Bangalore,Graduate,01-05-2023,25-04-2023,Job Portal,379487,342230,11,Remote,Yes,Yes,6,4,5,1,27,Active,26,No,NA,NA,
EMP0136,Female,31,IT,Entry,Pune,Graduate,11-10-2022,03-10-2022,Campus,766306,717747,8,Hybrid,No,Yes,11,1,5,1,20,Active,26,No,NA,NA,
EMP0137,Male,24,Sales,Entry,Bangalore,Postgraduate,21-07-2022,14-07-2022,Agency,748840,734434,7,Remote,Yes,Yes,35,3,1,8,21,Active,24,No,NA,NA,
EMP0138,Male,29,Sales,Senior,Mumbai,Postgraduate,06-06-2023,19-05-2023,Campus,501459,532654,3,Hybrid,Yes,No,40,2,4,4,20,Active,10,No,NA,NA,
EMP0139,Female,36,Finance,Senior,Hyderabad,Postgraduate,16-09-2023,25-08-2023,Referral,604269,625645,7,Hybrid,No,No,27,2,5,9,31,Active,35,No,NA,NA,
EMP0140,Female,29,Operations,Senior,Pune,Postgraduate,25-01-2022,14-01-2022,Referral,835245,862324,7,Onsite,No,No,5,1,3,4,30,Active,32,No,NA,NA,
EMP0141,Female,35,Finance,Senior,Pune,Graduate,31-01-2022,01-01-2022,Job Portal,831329,878870,5,Remote,Yes,Yes,7,1,5,5,36,Active,7,No,NA,NA,
EMP0142,Female,24,Sales,Senior,Bangalore,Graduate,31-05-2024,21-05-2024,Referral,477494,428568,12,Hybrid,Yes,Yes,11,4,2,7,8,Resigned,23,No,Career Growth,Lack of Learning,
